threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,cost_per_sample,avg_cost_fp,avg_cost_fn,fold
0.1,0.8386380458919319,0.6115787850755473,0.8379013312451057,0.9898242368177613,0.90754877014419,0.3921886712646721,63,207,11,1070,0.8811234453695139,0.9637249683304813,0.11677167530695338,136370447.21681508,114754093.19260769,21616354.0242074,207,11,100940.37543805706,554367.5999642884,210162.757108909,3
0.35,0.8704663212435233,0.7759567615719327,0.9073741007194245,0.9333950046253469,0.9202006383948929,0.5783815361104302,167,103,72,1009,0.8811234453695139,0.9637249683304813,0.11677167530695338,149838403.1227405,67419025.67844254,82419377.44429795,103,72,110909.25471705441,654553.6473635196,122422.947445288,3
0.4,0.8660251665433013,0.787074725048823,0.914364640883978,0.9185938945420906,0.9164743885556068,0.5782049863896709,177,93,88,993,0.8811234453695139,0.9637249683304813,0.11677167530695338,149867621.35442695,64670031.461936176,85197589.89249077,93,88,110930.88183155215,695376.6823864104,103540.58997870541,3
0.45,0.8586232420429312,0.7935639154418064,0.9198113207547169,0.9019426456984274,0.9107893507706679,0.5711207892451149,185,85,106,975,0.8811234453695139,0.9637249683304813,0.11677167530695338,153188650.4301723,64264606.64663812,88924043.78353418,85,106,113389.08247977225,756054.1958428012,89717.94894963306,3
0.55,0.848260547742413,0.8023709185596327,0.927734375,0.8788159111933395,0.9026128266033254,0.5646000201604973,196,74,131,950,0.8811234453695139,0.9637249683304813,0.11677167530695338,153759232.2449907,57801817.75048369,95957414.49450701,74,131,113811.42283122924,781105.6452768068,78338.13716094225,3
0.5,0.8534418948926721,0.7944941240963443,0.9216809933142311,0.8926919518963923,0.9069548872180451,0.5640157425878374,188,82,116,965,0.8811234453695139,0.9637249683304813,0.11677167530695338,155317261.09672385,62132223.673790604,93185037.42293327,82,116,114964.66402422194,757710.0448023244,85912.07188183552,3
0.3,0.8615840118430792,0.7398413677322095,0.8907342657342657,0.9426456984273821,0.9159550561797752,0.5325380355524448,145,125,62,1019,0.8811234453695139,0.9637249683304813,0.11677167530695338,163328194.92128193,84731675.46475868,78596519.45652324,125,62,120894.29675890594,677853.4037180694,135574.3786857964,3
0.6,0.8245743893412287,0.795905711446877,0.9306122448979591,0.8436632747456059,0.8850072780203785,0.5302468288320555,202,68,169,912,0.8811234453695139,0.9637249683304813,0.11677167530695338,185340729.17619896,50050711.07323976,135290018.10295922,68,169,137187.8084205766,736039.8687241141,85614.05124400294,3
0.65,0.7964470762398224,0.7880546133552608,0.9342672413793104,0.8020351526364478,0.8631159780985564,0.49677003105024614,209,61,214,867,0.8811234453695139,0.9637249683304813,0.11677167530695338,214345366.28204775,48452790.912605196,165892575.36944255,61,214,158656.82182238915,794308.0477476261,82904.70417825817,3
0.7,0.7586972612879349,0.7769691986158221,0.9394644935972061,0.7465309898242368,0.831958762886598,0.46033825366517744,218,52,274,807,0.8811234453695139,0.9637249683304813,0.11677167530695338,257385574.1425413,43489075.94221227,213896498.200329,52,274,190514.85872875003,836328.3835040821,83487.04887961352,3
0.75,0.6935603256846781,0.7654418062836195,0.9574759945130316,0.6456984273820536,0.7712707182320442,0.42592692235640806,239,31,383,698,0.8811234453695139,0.9637249683304813,0.11677167530695338,428674062.75919276,30194616.33480245,398479446.4243903,31,383,317301.3047810457,974019.8817678208,111268.73469130186,3
0.8,0.61880088823094,0.7451228286565937,0.9796610169491525,0.5346901017576319,0.6918013165769,0.39526662922045813,258,12,503,578,0.8811234453695139,0.9637249683304813,0.11677167530695338,472331527.246272,13916325.567238055,458415201.679034,12,503,349616.23038214067,1159693.7972698382,97466.87098060756,3
0.85,0.5188749074759438,0.6924058656251071,0.9886621315192744,0.40333024976873266,0.5729303547963206,0.32817314683194576,265,5,645,436,0.8811234453695139,0.9637249683304813,0.11677167530695338,539557378.89839,5283476.969155338,534273901.9292347,5,645,399376.29822234646,1056695.3938310675,88587.05083688477,3
